,trip_id,arrival_time,departure_time,stop_id,stop_sequence
0,GO505_20_2,00:06:00,00:06:00,237,1
1,GO505_20_2,00:18:00,00:18:00,214,2
2,GO505_20_2,00:23:00,00:23:00,55,3
3,GO505_20_2,00:25:00,00:25:00,107,4
4,GO505_20_2,00:29:00,00:32:00,102,5
5,GO505_20_2,00:47:00,00:47:00,183,6
6,GO505_20_2,00:50:00,00:50:00,225,7
7,GO505_20_2,00:53:00,00:53:00,64,8
8,GO505_20_2,00:56:00,00:56:00,226,9
9,GO505_20_2,00:59:00,00:59:00,16,10
10,GO505_20_2,01:02:00,01:02:00,215,11
11,GO505_20_2,01:05:00,01:05:00,187,12
12,GO505_20_2,01:07:00,01:07:00,136,13
13,GO505_20_2,01:09:00,01:09:00,135,14
14,GO505_20_2,01:12:00,01:12:00,8,15
15,GO505_20_2,01:15:00,01:15:00,38,16
16,GO505_20_2,01:18:00,01:18:00,117,17
17,GO505_20_2,01:23:00,01:23:00,27,18
18,GO505_20_3,01:00:00,01:00:00,27,1
19,GO505_20_3,01:05:00,01:05:00,117,2
20,GO505_20_3,01:08:00,01:08:00,38,3
21,GO505_20_3,01:10:00,01:10:00,8,4
22,GO505_20_3,01:13:00,01:13:00,135,5
23,GO505_20_3,01:15:00,01:15:00,136,6
24,GO505_20_3,01:17:00,01:17:00,187,7
25,GO505_20_3,01:20:00,01:20:00,215,8
26,GO505_20_3,01:23:00,01:23:00,16,9
27,GO505_20_3,01:26:00,01:26:00,226,10
28,GO505_20_3,01:30:00,01:30:00,64,11
29,GO505_20_3,01:33:00,01:33:00,225,12
30,GO505_20_3,01:36:00,01:36:00,183,13
31,GO505_20_3,01:39:00,01:39:00,125,14
32,GO505_20_3,01:53:00,01:55:00,102,15
33,GO505_20_3,02:04:00,02:04:00,214,16
34,GO505_20_3,02:15:00,02:15:00,237,17
35,GO505_20_4,00:39:00,00:39:00,237,1
36,GO505_20_4,00:51:00,00:51:00,214,2
37,GO505_20_4,00:56:00,00:56:00,55,3
38,GO505_20_4,00:58:00,00:58:00,107,4
39,GO505_20_4,01:02:00,01:04:00,102,5
40,GO505_20_4,01:20:00,01:20:00,183,6
41,GO505_20_4,01:24:00,01:24:00,225,7
42,GO505_20_4,01:26:00,01:26:00,64,8
43,GO505_20_4,01:29:00,01:29:00,226,9
44,GO505_20_4,01:32:00,01:32:00,16,10
45,GO505_20_4,01:35:00,01:35:00,215,11
46,GO505_20_4,01:38:00,01:38:00,187,12
47,GO505_20_4,01:40:00,01:40:00,136,13
48,GO505_20_4,01:42:00,01:42:00,135,14
49,GO505_20_4,01:45:00,01:45:00,8,15
50,GO505_20_4,01:48:00,01:48:00,38,16
51,GO505_20_4,01:51:00,01:51:00,117,17
52,GO505_20_4,01:56:00,01:56:00,27,18
53,GO505_20_5,01:35:00,01:35:00,27,1
54,GO505_20_5,01:40:00,01:40:00,117,2
55,GO505_20_5,01:43:00,01:43:00,38,3
56,GO505_20_5,01:45:00,01:45:00,8,4
57,GO505_20_5,01:48:00,01:48:00,135,5
58,GO505_20_5,01:50:00,01:50:00,136,6
59,GO505_20_5,01:52:00,01:52:00,187,7
60,GO505_20_5,01:55:00,01:55:00,215,8
61,GO505_20_5,01:58:00,01:58:00,16,9
62,GO505_20_5,02:01:00,02:01:00,226,10
63,GO505_20_5,02:04:00,02:04:00,64,11
64,GO505_20_5,02:07:00,02:07:00,225,12
65,GO505_20_5,02:10:00,02:10:00,183,13
66,GO505_20_5,02:14:00,02:14:00,125,14
67,GO505_20_5,02:29:00,02:31:00,102,15
68,GO505_20_5,02:40:00,02:40:00,214,16
69,GO505_20_5,02:51:00,02:51:00,237,17
70,GO505_20_6,01:49:00,01:49:00,237,1
71,GO505_20_6,02:01:00,02:01:00,214,2
72,GO505_20_6,02:10:00,02:12:00,102,3
73,GO505_20_6,02:23:00,02:23:00,211,4
74,GO505_20_6,02:26:00,02:26:00,125,5
75,GO505_20_6,02:30:00,02:30:00,183,6
76,GO505_20_6,02:33:00,02:33:00,225,7
77,GO505_20_6,02:35:00,02:35:00,64,8
78,GO505_20_6,02:39:00,02:39:00,226,9
79,GO505_20_6,02:42:00,02:42:00,16,10
80,GO505_20_6,02:45:00,02:45:00,215,11
81,GO505_20_6,02:48:00,02:48:00,187,12
82,GO505_20_6,02:50:00,02:50:00,136,13
83,GO505_20_6,02:52:00,02:52:00,135,14
84,GO505_20_6,02:55:00,02:55:00,8,15
85,GO505_20_6,02:58:00,02:58:00,38,16
86,GO505_20_6,03:01:00,03:01:00,117,17
87,GO505_20_6,03:06:00,03:06:00,27,18
88,GO505_20_7,03:21:00,03:21:00,27,1
89,GO505_20_7,03:27:00,03:27:00,8,2
90,GO505_20_7,03:32:00,03:32:00,215,3
91,GO505_20_7,03:38:00,03:38:00,64,4
92,GO505_20_7,03:56:00,03:58:00,102,5
93,GO505_20_7,04:08:00,04:08:00,214,6
94,GO505_20_7,04:18:00,04:18:00,237,7
95,GO505_20_8,03:10:00,03:10:00,237,1
96,GO505_20_8,03:29:00,03:30:00,102,2
97,GO505_20_8,03:44:00,03:44:00,183,3
98,GO505_20_8,03:47:00,03:47:00,225,4
99,GO505_20_8,03:50:00,03:50:00,64,5
100,GO505_20_8,03:53:00,03:53:00,226,6
101,GO505_20_8,03:56:00,03:56:00,16,7
102,GO505_20_8,03:59:00,03:59:00,215,8
103,GO505_20_8,04:02:00,04:02:00,187,9
104,GO505_20_8,04:04:00,04:04:00,136,10
105,GO505_20_8,04:06:00,04:06:00,135,11
106,GO505_20_8,04:09:00,04:09:00,8,12
107,GO505_20_8,04:12:00,04:12:00,38,13
108,GO505_20_8,04:15:00,04:15:00,117,14
109,GO505_20_8,04:20:00,04:20:00,27,15
110,GO505_20_9,03:30:00,03:30:00,27,1
111,GO505_20_9,03:35:00,03:35:00,117,2
112,GO505_20_9,03:38:00,03:38:00,38,3
113,GO505_20_9,03:40:00,03:40:00,8,4
114,GO505_20_9,03:43:00,03:43:00,135,5
115,GO505_20_9,03:45:00,03:45:00,136,6
116,GO505_20_9,03:47:00,03:47:00,187,7
117,GO505_20_9,03:50:00,03:50:00,215,8
118,GO505_20_9,03:53:00,03:53:00,16,9
119,GO505_20_9,03:56:00,03:56:00,226,10
120,GO505_20_9,03:59:00,03:59:00,64,11
121,GO505_20_9,04:02:00,04:02:00,225,12
122,GO505_20_9,04:05:00,04:05:00,183,13
123,GO505_20_9,04:08:00,04:08:00,125,14
124,GO505_20_9,04:23:00,04:25:00,102,15
125,GO505_20_9,04:43:00,04:43:00,237,16
126,GO505_20_11,04:39:00,04:39:00,27,1
127,GO505_20_11,04:44:00,04:44:00,117,2
128,GO505_20_11,04:47:00,04:47:00,38,3
129,GO505_20_11,04:49:00,04:49:00,8,4
130,GO505_20_11,04:52:00,04:52:00,135,5
131,GO505_20_11,04:54:00,04:54:00,136,6
132,GO505_20_11,04:57:00,04:57:00,187,7
133,GO505_20_11,04:59:00,04:59:00,215,8
134,GO505_20_11,05:02:00,05:02:00,16,9
135,GO505_20_11,05:05:00,05:05:00,226,10
136,GO505_20_11,05:08:00,05:08:00,64,11
137,GO505_20_11,05:11:00,05:11:00,225,12
138,GO505_20_11,05:14:00,05:14:00,183,13
139,GO505_20_11,05:17:00,05:17:00,125,14
140,GO505_20_11,05:20:00,05:20:00,211,15
141,GO505_20_11,05:31:00,05:33:00,102,16
142,GO505_20_11,05:37:00,05:37:00,107,17
143,GO505_20_11,05:39:00,05:39:00,55,18
144,GO505_20_11,05:45:00,05:45:00,214,19
145,GO505_20_11,05:55:00,05:55:00,237,20
146,GO505_20_12,04:54:00,04:54:00,237,1
147,GO505_20_12,05:05:00,05:05:00,214,2
148,GO505_20_12,05:14:00,05:16:00,102,3
149,GO505_20_12,05:29:00,05:29:00,125,4
150,GO505_20_12,05:32:00,05:32:00,183,5
151,GO505_20_12,05:35:00,05:35:00,225,6
152,GO505_20_12,05:38:00,05:38:00,64,7
153,GO505_20_12,05:41:00,05:41:00,226,8
154,GO505_20_12,05:44:00,05:44:00,16,9
155,GO505_20_12,05:47:00,05:47:00,215,10
156,GO505_20_12,05:50:00,05:50:00,187,11
157,GO505_20_12,05:52:00,05:52:00,136,12
158,GO505_20_12,05:54:00,05:54:00,135,13
159,GO505_20_12,05:57:00,05:57:00,8,14
160,GO505_20_12,06:00:00,06:00:00,38,15
161,GO505_20_12,06:03:00,06:03:00,117,16
162,GO505_20_12,06:08:00,06:08:00,27,17
163,GO505_20_13,05:12:00,05:12:00,27,1
164,GO505_20_13,05:17:00,05:17:00,117,2
165,GO505_20_13,05:20:00,05:20:00,38,3
166,GO505_20_13,05:22:00,05:22:00,8,4
167,GO505_20_13,05:25:00,05:25:00,135,5
168,GO505_20_13,05:27:00,05:27:00,136,6
169,GO505_20_13,05:30:00,05:30:00,187,7
170,GO505_20_13,05:55:00,05:56:00,102,8
171,GO505_20_13,06:14:00,06:14:00,237,9
172,GO505_20_14,06:36:00,06:36:00,237,1
173,GO505_20_14,06:47:00,06:47:00,214,2
174,GO505_20_14,06:56:00,06:58:00,102,3
175,GO505_20_14,07:14:00,07:14:00,125,4
176,GO505_20_14,07:17:00,07:17:00,183,5
177,GO505_20_14,07:20:00,07:20:00,225,6
178,GO505_20_14,07:23:00,07:23:00,64,7
179,GO505_20_14,07:25:00,07:25:00,226,8
180,GO505_20_14,07:28:00,07:28:00,16,9
181,GO505_20_14,07:30:00,07:30:00,215,10
182,GO505_20_14,07:33:00,07:33:00,187,11
183,GO505_20_14,07:35:00,07:35:00,136,12
184,GO505_20_14,07:37:00,07:37:00,135,13
185,GO505_20_14,07:39:00,07:39:00,8,14
186,GO505_20_14,07:42:00,07:42:00,38,15
187,GO505_20_14,07:45:00,07:45:00,117,16
188,GO505_20_14,07:51:00,07:51:00,27,17
189,GO505_20_15,05:17:00,05:17:00,27,1
190,GO505_20_15,05:22:00,05:22:00,117,2
191,GO505_20_15,05:25:00,05:25:00,38,3
192,GO505_20_15,05:27:00,05:27:00,8,4
193,GO505_20_15,05:30:00,05:30:00,135,5
194,GO505_20_15,05:32:00,05:32:00,136,6
195,GO505_20_15,05:35:00,05:35:00,187,7
196,GO505_20_15,05:37:00,05:37:00,215,8
197,GO505_20_15,05:40:00,05:40:00,16,9
198,GO505_20_15,05:43:00,05:43:00,226,10
199,GO505_20_15,05:46:00,05:46:00,64,11
200,GO505_20_15,05:49:00,05:49:00,225,12
201,GO505_20_15,05:52:00,05:52:00,183,13
202,GO505_20_15,05:55:00,05:55:00,125,14
203,GO505_20_15,06:03:00,06:03:00,184,15
204,GO505_20_15,06:09:00,06:13:00,102,16
205,GO505_20_15,06:21:00,06:21:00,50,17
206,GO505_20_15,06:26:00,06:26:00,148,18
207,GO505_20_15,06:32:00,06:32:00,241,19
208,GO505_20_16,07:10:00,07:10:00,237,1
209,GO505_20_16,07:29:00,07:31:00,102,2
210,GO505_20_16,07:50:00,07:50:00,64,3
211,GO505_20_16,07:57:00,07:57:00,187,4
212,GO505_20_16,08:02:00,08:02:00,8,5
213,GO505_20_16,08:08:00,08:08:00,27,6
214,GO505_20_17,05:41:00,05:41:00,27,1
215,GO505_20_17,05:46:00,05:46:00,117,2
216,GO505_20_17,05:49:00,05:49:00,38,3
217,GO505_20_17,05:51:00,05:51:00,8,4
218,GO505_20_17,05:58:00,05:58:00,215,5
219,GO505_20_17,06:00:00,06:00:00,16,6
220,GO505_20_17,06:03:00,06:03:00,226,7
221,GO505_20_17,06:23:00,06:25:00,102,8
222,GO505_20_17,06:33:00,06:33:00,214,9
223,GO505_20_17,06:44:00,06:44:00,237,10
224,GO505_20_18,07:31:00,07:31:00,237,1
225,GO505_20_18,07:50:00,07:52:00,102,2
226,GO505_20_18,08:05:00,08:05:00,125,3
227,GO505_20_18,08:08:00,08:08:00,183,4
228,GO505_20_18,08:11:00,08:11:00,225,5
229,GO505_20_18,08:14:00,08:14:00,64,6
230,GO505_20_18,08:17:00,08:17:00,226,7
231,GO505_20_18,08:20:00,08:20:00,16,8
232,GO505_20_18,08:23:00,08:23:00,215,9
233,GO505_20_18,08:26:00,08:26:00,187,10
234,GO505_20_18,08:28:00,08:28:00,136,11
235,GO505_20_18,08:30:00,08:30:00,135,12
236,GO505_20_18,08:33:00,08:33:00,8,13
237,GO505_20_18,08:36:00,08:36:00,38,14
238,GO505_20_18,08:39:00,08:39:00,117,15
239,GO505_20_18,08:44:00,08:44:00,27,16
240,GO505_20_19,05:56:00,05:56:00,27,1
241,GO505_20_19,06:01:00,06:01:00,117,2
242,GO505_20_19,06:04:00,06:04:00,38,3
243,GO505_20_19,06:06:00,06:06:00,8,4
244,GO505_20_19,06:13:00,06:13:00,215,5
