,route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
0,1,B895A79A,GO505_20_2,Babylon,2,0,DF671E6C
1,1,B895A79A,GO505_20_3,Penn Station,3,1,DF671E6C
2,1,B895A79A,GO505_20_4,Babylon,4,0,DF671E6C
3,1,B895A79A,GO505_20_5,Penn Station,5,1,DF671E6C
4,1,B895A79A,GO505_20_6,Babylon,6,0,DF671E6C
5,1,B895A79A,GO505_20_7,Penn Station,7,1,DF671E6C
6,1,B895A79A,GO505_20_8,Babylon,8,0,DF671E6C
7,1,B895A79A,GO505_20_9,Penn Station,9,1,DF671E6C
8,1,B895A79A,GO505_20_11,Penn Station,11,1,DF671E6C
9,1,B895A79A,GO505_20_12,Babylon,12,0,DF671E6C
10,1,B895A79A,GO505_20_13,Penn Station,13,1,DF671E6C
11,1,B895A79A,GO505_20_14,Babylon,14,0,DF671E6C
12,1,B895A79A,GO505_20_15,Atlantic Terminal,15,1,C85CC273
13,1,B895A79A,GO505_20_16,Babylon,16,0,DF671E6C
14,1,B895A79A,GO505_20_17,Penn Station,17,1,DF671E6C
15,1,B895A79A,GO505_20_18,Babylon,18,0,DF671E6C
16,1,B895A79A,GO505_20_19,Penn Station,19,1,DF671E6C
17,1,B895A79A,GO505_20_22,Babylon,22,0,DF671E6C
18,1,B895A79A,GO505_20_24,Babylon,24,0,A8F61878
19,1,B895A79A,GO505_20_25,Penn Station,25,1,DF671E6C
20,1,B895A79A,GO505_20_27,Atlantic Terminal,27,1,C85CC273
21,1,B895A79A,GO505_20_28,Babylon,28,0,A8F61878
22,1,B895A79A,GO505_20_29,Penn Station,29,1,DF671E6C
23,1,B895A79A,GO505_20_31,Penn Station,31,1,DF671E6C
24,1,B895A79A,GO505_20_32,Babylon,32,0,DF671E6C
25,1,B895A79A,GO505_20_33,Atlantic Terminal,33,1,C85CC273
26,1,B895A79A,GO505_20_34,Babylon,34,0,A8F61878
27,1,B895A79A,GO505_20_35,Penn Station,35,1,DF671E6C
28,1,B895A79A,GO505_20_36,Babylon,36,0,DF671E6C
29,1,B895A79A,GO505_20_38,Babylon,38,0,A8F61878
30,1,B895A79A,GO505_20_39,Atlantic Terminal,39,1,C85CC273
31,1,B895A79A,GO505_20_42,Babylon,42,0,DF671E6C
32,1,B895A79A,GO505_20_43,Penn Station,43,1,DF671E6C
33,1,B895A79A,GO505_20_44,Babylon,44,0,DF671E6C
34,1,B895A79A,GO505_20_45,Penn Station,45,1,DF671E6C
35,1,B895A79A,GO505_20_47,Penn Station,47,1,DF671E6C
36,1,B895A79A,GO505_20_48,Babylon,48,0,A8F61878
37,1,B895A79A,GO505_20_49,Penn Station,49,1,DF671E6C
38,1,B895A79A,GO505_20_50,Babylon,50,0,DF671E6C
39,1,B895A79A,GO505_20_51,Penn Station,51,1,DF671E6C
40,1,B895A79A,GO505_20_52,Babylon,52,0,DF671E6C
41,1,B895A79A,GO505_20_53,Penn Station,53,1,A8F61878
42,1,B895A79A,GO505_20_55,Penn Station,55,1,DF671E6C
43,1,B895A79A,GO505_20_57,Penn Station,57,1,A8F61878
44,1,B895A79A,GO505_20_59,Penn Station,59,1,5E99E8D9
45,1,B895A79A,GO505_20_61,Penn Station,61,1,DF671E6C
46,1,B895A79A,GO505_20_63,Penn Station,63,1,A8F61878
47,1,B895A79A,GO505_20_65,Penn Station,65,1,5E99E8D9
48,1,B895A79A,GO505_20_67,Penn Station,67,1,DF671E6C
49,1,B895A79A,GO505_20_69,Penn Station,69,1,A8F61878
50,1,B895A79A,GO505_20_102,Babylon,102,0,A8F61878
51,1,B895A79A,GO505_20_103,Penn Station,103,1,5E99E8D9
52,1,B895A79A,GO505_20_104,Babylon,104,0,DF671E6C
53,1,B895A79A,GO505_20_105,Penn Station,105,1,DF671E6C
54,1,B895A79A,GO505_20_107,Penn Station,107,1,A8F61878
55,1,B895A79A,GO505_20_108,Babylon,108,0,A8F61878
56,1,B895A79A,GO505_20_109,Penn Station,109,1,DF671E6C
57,1,B895A79A,GO505_20_110,Babylon,110,0,DF671E6C
58,1,B895A79A,GO505_20_111,Penn Station,111,1,A8F61878
59,1,B895A79A,GO505_20_113,Penn Station,113,1,5E99E8D9
60,1,B895A79A,GO505_20_114,Babylon,114,0,DF671E6C
61,1,B895A79A,GO505_20_115,Penn Station,115,1,DF671E6C
62,1,B895A79A,GO505_20_117,Penn Station,117,1,A8F61878
63,1,B895A79A,GO505_20_119,Penn Station,119,1,DF671E6C
64,1,B895A79A,GO505_20_120,Babylon,120,0,A8F61878
65,1,B895A79A,GO505_20_123,Penn Station,123,1,A8F61878
66,1,B895A79A,GO505_20_125,Penn Station,125,1,DF671E6C
67,1,B895A79A,GO505_20_126,Babylon,126,0,DF671E6C
68,1,B895A79A,GO505_20_127,Penn Station,127,1,DF671E6C
69,1,B895A79A,GO505_20_129,Penn Station,129,1,DF671E6C
70,1,B895A79A,GO505_20_131,Penn Station,131,1,A8F61878
71,1,B895A79A,GO505_20_132,Babylon,132,0,DF671E6C
72,1,B895A79A,GO505_20_133,Penn Station,133,1,DF671E6C
